structure_name,multiplicity,charge,seed_geometry,optimized_xyz,opt_level,freq_level,sp_level,opt_normal_termination,opt_energy_eh,freq_normal_termination,freq_energy_eh,nimag,minimum_confirmed,sp_normal_termination,sp_energy_eh,s2,opt_output_file,freq_output_file,sp_output_file,job_dir,mode,atom_count,formula,relative_energy_kj_mol
b12_hexagonal_prism,1,0,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\03_refined_candidates\b12_hexagonal_prism\mult_1\b12_hexagonal_prism_m1_refine_saved.xyz,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_1\opt\b12_hexagonal_prism_m1_spinopt_saved.xyz,r2SCAN-3c,r2SCAN-3c,PBE0-D4/def2-TZVPP,True,-297.794408835091,True,-297.794408834715,0,True,True,-297.606945704388,,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_1\opt\b12_hexagonal_prism_m1_spinopt.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_1\freq\b12_hexagonal_prism_m1_spinfreq.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_1\sp\b12_hexagonal_prism_m1_spinsp.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_1,run,12,B12,0.0000
b12_hexagonal_prism,3,0,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\03_refined_candidates\b12_hexagonal_prism\mult_1\b12_hexagonal_prism_m1_refine_saved.xyz,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_3\opt\b12_hexagonal_prism_m3_spinopt_saved.xyz,r2SCAN-3c,r2SCAN-3c,PBE0-D4/def2-TZVPP,True,-297.779122039785,True,-297.77912203856,0,True,True,-297.587246435772,2.036319,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_3\opt\b12_hexagonal_prism_m3_spinopt.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_3\freq\b12_hexagonal_prism_m3_spinfreq.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_3\sp\b12_hexagonal_prism_m3_spinsp.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_3,run,12,B12,51.7204
b12_hexagonal_prism,5,0,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\03_refined_candidates\b12_hexagonal_prism\mult_1\b12_hexagonal_prism_m1_refine_saved.xyz,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_5\opt\b12_hexagonal_prism_m5_spinopt_saved.xyz,r2SCAN-3c,r2SCAN-3c,PBE0-D4/def2-TZVPP,True,-297.73032796322,True,-297.730327963525,0,True,True,-297.534632840554,6.054539,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_5\opt\b12_hexagonal_prism_m5_spinopt.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_5\freq\b12_hexagonal_prism_m5_spinfreq.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_5\sp\b12_hexagonal_prism_m5_spinsp.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\05_spin_comparison\b12_hexagonal_prism\mult_5,run,12,B12,189.8574
