structure_name,source_xyz,multiplicity,charge,level_of_theory,task,normal_termination,optimization_converged,final_energy_eh,optimized_xyz,input_file,output_file,job_dir,mode,atom_count,formula,relative_energy_kj_mol
b12_hexagonal_prism,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\01_initial_structures\b12_hexagonal_prism.xyz,1,0,r2SCAN-3c,OPT,True,False,-297.79392165692,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_1\b12_hexagonal_prism_m1_screen_saved.xyz,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_1\b12_hexagonal_prism_m1_screen.inp,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_1\b12_hexagonal_prism_m1_screen.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_1,run,12,B12,0.0000
b12_hexagonal_prism,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\01_initial_structures\b12_hexagonal_prism.xyz,3,0,r2SCAN-3c,OPT,True,False,-297.727313269881,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_3\b12_hexagonal_prism_m3_screen_saved.xyz,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_3\b12_hexagonal_prism_m3_screen.inp,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_3\b12_hexagonal_prism_m3_screen.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_3,run,12,B12,174.8803
b12_hexagonal_prism,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\01_initial_structures\b12_hexagonal_prism.xyz,5,0,r2SCAN-3c,OPT,True,False,-297.569949410132,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_5\b12_hexagonal_prism_m5_screen_saved.xyz,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_5\b12_hexagonal_prism_m5_screen.inp,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_5\b12_hexagonal_prism_m5_screen.out,C:\Users\gnome\Desktop\Vitya_Diplom\Vitya_DiplomB12\02_screening_r2scan3c\b12_hexagonal_prism\mult_5,run,12,B12,588.0390
